%time,field.buf0,field.buf1,field.buf2,field.buf3,field.buf4,field.buf5,field.buf6,field.buf7,field.buf8,field.buf9,field.buf10,field.buf11,field.buf12,field.buf13,field.buf14,field.buf15,field.buf16,field.buf17,field.buf18,field.buf19,field.buf20,field.buf21,field.buf22,field.buf23,field.buf24,field.buf25,field.buf26,field.buf27,field.buf28,field.buf29,field.buf30,field.buf31,field.buf32,field.buf33,field.buf34,field.buf35,field.buf36,field.buf37,field.buf38,field.buf39,field.buf40,field.buf41,field.buf42,field.buf43,field.buf44,field.buf45,field.buf46,field.buf47,field.buf48
1562068990693166415,143,248,47,184,34,0,0,0,80,81,85,96,33,0,0,0,128,67,71,96,33,0,0,0,0,0,21,61,0,0,90,189,0,208,124,191,0,156,96,191,0,160,12,62,0,184,136,191,0
1562068990704653878,86,36,200,184,34,0,0,0,214,245,237,96,33,0,0,0,0,178,223,96,33,0,0,0,0,0,28,61,0,0,87,189,0,128,126,191,0,228,84,191,0,224,171,189,0,160,140,191,0
1562068990713090379,34,40,97,185,34,0,0,0,178,188,134,97,33,0,0,0,48,142,120,97,33,0,0,0,0,0,1,61,0,0,102,189,0,224,124,191,0,64,156,190,0,128,59,61,0,24,118,191,0
1562068990723109859,235,155,249,185,34,0,0,0,200,8,31,98,33,0,0,0,110,243,16,98,33,0,0,0,0,0,28,61,0,0,103,189,0,80,125,191,0,64,28,191,0,112,148,190,0,12,120,191,0
1562068990733635078,182,87,146,186,34,0,0,0,98,218,183,98,33,0,0,0,104,186,169,98,33,0,0,0,0,0,34,61,0,0,78,189,0,160,124,191,0,52,30,191,0,0,0,0,0,0,122,191,0
1562068990743059327,127,203,42,187,34,0,0,0,160,18,80,99,33,0,0,0,132,25,66,99,33,0,0,0,0,0,31,61,0,0,95,189,0,144,125,191,0,108,104,191,0,64,156,189,0,96,106,191,0
1562068990753134310,73,135,195,187,34,0,0,0,122,184,232,99,33,0,0,0,56,189,218,99,33,0,0,0,0,0,55,61,0,0,90,189,0,176,124,191,0,144,98,191,0,160,140,61,0,226,129,191,0
1562068990763064572,18,251,91,188,34,0,0,0,22,86,129,100,33,0,0,0,100,62,115,100,33,0,0,0,0,0,47,61,0,0,80,189,0,64,126,191,0,120,230,190,0,128,187,60,0,24,118,191,0
1562068990773681712,220,182,244,188,34,0,0,0,32,239,25,101,33,0,0,0,84,231,11,101,33,0,0,0,0,0,81,61,0,0,73,189,0,80,126,191,0,140,57,191,0,64,156,61,0,232,128,191,0
1562068990783103112,165,42,141,189,34,0,0,0,12,186,178,101,33,0,0,0,222,135,164,101,33,0,0,0,0,0,44,61,0,0,71,189,0,208,124,191,0,236,41,191,0,0,250,61,0,144,98,191,0
1562068990793154934,112,230,37,190,34,0,0,0,196,44,75,102,33,0,0,0,24,25,61,102,33,0,0,0,0,0,37,61,0,0,80,189,0,176,123,191,0,180,92,191,0,0,250,189,0,142,143,191,0
1562068990804988590,57,90,190,190,34,0,0,0,214,174,227,102,33,0,0,0,2,145,213,102,33,0,0,0,0,0,44,61,0,0,113,189,0,176,127,191,0,136,16,191,0,64,28,190,0,120,102,191,0
1562068990813697136,1,206,86,191,34,0,0,0,8,92,124,103,33,0,0,0,196,43,110,103,33,0,0,0,0,0,20,61,0,0,93,189,0,96,125,191,0,52,30,191,0,64,28,189,0,0,122,191,0
1562068990823731437,204,137,239,191,34,0,0,0,86,217,20,104,33,0,0,0,122,185,6,104,33,0,0,0,0,0,13,61,0,0,123,189,0,96,123,191,0,52,30,191,0,64,28,61,0,120,102,191,0
1562068990833275547,150,69,136,192,34,0,0,0,248,141,174,104,33,0,0,0,98,191,159,104,33,0,0,0,0,0,45,61,0,0,94,189,0,80,124,191,0,92,65,191,0,192,218,189,0,36,116,191,0
1562068992473928985,73,138,53,34,35,0,0,0,80,40,90,202,33,0,0,0,190,140,75,202,33,0,0,0,0,0,78,61,0,0,81,189,0,224,124,191,0,112,20,191,0,192,90,189,0,214,131,191,0
1562068992474380046,69,51,93,34,35,0,0,0,202,185,128,202,33,0,0,0,104,37,114,202,33,0,0,0,0,0,216,60,0,128,128,189,0,96,123,191,0,108,104,191,0,0,122,188,0,96,106,191,0
1562068992484972909,141,102,225,34,35,0,0,0,92,26,6,203,33,0,0,0,158,121,246,202,33,0,0,0,0,0,33,61,0,0,92,189,0,16,124,191,0,56,71,191,0,176,51,62,0,142,143,191,0
1562068992493569982,84,146,121,35,35,0,0,0,148,9,157,203,33,0,0,0,78,109,142,203,33,0,0,0,0,0,35,61,0,0,104,189,0,112,124,191,0,184,8,191,0,224,171,61,0,100,150,191,0
1562068992512057670,31,78,18,36,35,0,0,0,70,54,54,204,33,0,0,0,90,109,39,204,33,0,0,0,0,0,44,61,0,0,83,189,0,224,126,191,0,60,112,191,0,240,82,62,0,132,100,191,0
